src_ip,dst_ip,src_port,dst_port,protocol,app,domain,packets,bytes,start_ts,status,country
192.168.51.159,224.0.0.251,5353,5353,UDP,Unknown,,1,126,1772215238,FORWARDED,Unknown
192.168.51.232,20.40.206.232,65483,443,TCP,Microsoft,,1,54,1772215239,FORWARDED,USA
20.40.206.232,192.168.51.232,443,65483,TCP,Microsoft,,1,443,1772215238,FORWARDED,LAN
192.168.51.232,23.48.245.114,65480,80,TCP,HTTP,,1,55,1772215239,FORWARDED,Unknown
23.48.245.114,192.168.51.232,80,65480,TCP,Unknown,,1,66,1772215239,FORWARDED,LAN
192.168.51.232,150.171.27.11,56498,443,TCP,HTTPS,,1,55,1772215240,FORWARDED,Unknown
192.168.52.67,224.0.0.251,5353,5353,UDP,Unknown,,1,103,1772215239,FORWARDED,Unknown
192.168.52.60,224.0.0.251,5353,5353,UDP,Unknown,,1,87,1772215239,FORWARDED,Unknown
192.168.52.60,239.255.255.250,65491,1900,UDP,Unknown,,1,167,1772215240,FORWARDED,Unknown
150.171.27.11,192.168.51.232,443,56498,TCP,HTTPS,,1,66,1772215240,FORWARDED,LAN
192.168.52.169,255.255.255.255,17500,17500,UDP,Unknown,,1,176,1772215241,FORWARDED,Unknown
192.168.52.169,192.168.55.255,17500,17500,UDP,Unknown,,1,176,1772215241,FORWARDED,LAN
192.168.50.143,224.0.0.251,5353,5353,UDP,Unknown,,1,103,1772215241,FORWARDED,Unknown
192.168.50.110,224.0.0.251,5353,5353,UDP,Unknown,,1,85,1772215242,FORWARDED,Unknown
192.168.51.43,224.0.0.251,5353,5353,UDP,Unknown,,1,119,1772215242,FORWARDED,Unknown
192.168.50.194,224.0.0.251,5353,5353,UDP,Unknown,,1,483,1772215242,FORWARDED,Unknown
192.168.51.232,192.168.3.8,52945,53,UDP,DNS,,1,71,1772215243,FORWARDED,LAN
192.168.51.232,192.168.3.8,53735,53,UDP,DNS,,1,71,1772215243,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,52945,UDP,DNS,,1,249,1772215243,FORWARDED,LAN
192.168.51.232,192.168.3.8,53589,53,UDP,DNS,,1,74,1772215243,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,53589,UDP,DNS,,1,138,1772215243,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,53735,UDP,DNS,,1,316,1772215243,FORWARDED,LAN
192.168.51.232,23.48.244.41,56516,443,UDP,HTTPS,e86303.dscx.akamaiedge.net,1,1292,1772215243,FORWARDED,Unknown
23.48.244.41,192.168.51.232,443,56516,UDP,HTTPS,e86303.dscx.akamaiedge.net,1,82,1772215243,FORWARDED,LAN
192.168.51.232,192.168.3.8,55121,53,UDP,DNS,,1,72,1772215243,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,55121,UDP,DNS,,1,254,1772215243,FORWARDED,LAN
192.168.51.232,192.168.3.8,50465,53,UDP,DNS,,1,72,1772215243,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,50465,UDP,DNS,,1,321,1772215243,FORWARDED,LAN
192.168.51.232,20.192.44.82,60400,443,TCP,Microsoft,,1,85,1772215243,FORWARDED,USA
